0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:15:08 +0900] "POST /Goit/idCheck HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:15:08 +0900] "POST /Goit/idCheck HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:15:09 +0900] "POST /Goit/idCheck HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:15:38 +0900] "POST /Goit/signUp HTTP/1.1" 200 1012
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:15:42 +0900] "GET /Goit/signInPage HTTP/1.1" 200 4618
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:15:52 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:15:53 +0900] "GET /Goit/mainPage HTTP/1.1" 200 2749
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:15:55 +0900] "GET /Goit/boardList HTTP/1.1" 200 27543
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:15:56 +0900] "GET /Goit/boardContentView?b_no=33 HTTP/1.1" 200 18181
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:15:56 +0900] "GET /Goit/boardCmtList?b_no=33 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:16:07 +0900] "POST /Goit/boardCmtWrite HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:16:07 +0900] "GET /Goit/boardCmtList?b_no=33 HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:16:13 +0900] "GET /Goit/boardList HTTP/1.1" 200 27543
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:16:16 +0900] "GET /Goit/boardContentView?b_no=31 HTTP/1.1" 200 18115
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:16:16 +0900] "GET /Goit/boardCmtList?b_no=31 HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:16:23 +0900] "POST /Goit/boardCmtWrite HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:16:23 +0900] "GET /Goit/boardCmtList?b_no=31 HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:16:32 +0900] "GET /Goit/boardList HTTP/1.1" 200 27543
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:16:33 +0900] "GET /Goit/boardContentView?b_no=33 HTTP/1.1" 200 18181
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:16:33 +0900] "GET /Goit/boardCmtList?b_no=33 HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:16:41 +0900] "POST /Goit/boardCmtWrite HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:16:41 +0900] "GET /Goit/boardCmtList?b_no=33 HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:21:27 +0900] "GET /Goit/myPage HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:21:32 +0900] "GET /Goit/boardList HTTP/1.1" 200 27543
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:21:37 +0900] "GET /Goit/loginCheck HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:21:37 +0900] "GET /Goit/boardWritePage HTTP/1.1" 200 5447
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:22:02 +0900] "POST /Goit/boardWrite HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:22:04 +0900] "GET /Goit/boardList HTTP/1.1" 200 27539
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:22:04 +0900] "GET /Goit/resources/imgUpload/2023/08/06/s/s_4ceb9650-c3d9-4f41-93d1-52bd6435c569_settings.png HTTP/1.1" 200 11232
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:22:08 +0900] "GET /Goit/boardContentView?b_no=34 HTTP/1.1" 200 18352
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:22:08 +0900] "GET /Goit/resources/imgUpload/2023/08/06/4ceb9650-c3d9-4f41-93d1-52bd6435c569_settings.png HTTP/1.1" 200 21366
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:22:08 +0900] "GET /Goit/boardCmtList?b_no=34 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:22:19 +0900] "POST /Goit/boardCmtWrite HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:22:19 +0900] "GET /Goit/boardCmtList?b_no=34 HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:22:33 +0900] "POST /Goit/boardCmtEdit HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:22:33 +0900] "GET /Goit/boardCmtList?b_no=34 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:22:42 +0900] "GET /Goit/boardList HTTP/1.1" 200 27539
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:22:42 +0900] "GET /Goit/resources/imgUpload/2023/08/06/s/s_4ceb9650-c3d9-4f41-93d1-52bd6435c569_settings.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:01 +0900] "GET /Goit/boardContentView?b_no=25 HTTP/1.1" 200 17987
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:01 +0900] "GET /Goit/resources/imgUpload/2023/08/01/03e53e5f-b104-4422-af3e-669aa3fd6fee_main3.gif HTTP/1.1" 200 445358
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:01 +0900] "GET /Goit/boardCmtList?b_no=25 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:23:09 +0900] "POST /Goit/boardCmtWrite HTTP/1.1" 200 1
