127.0.0.1 - - [28/Jul/2023:16:17:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:17:44 +0900] "GET /Goit/ HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:17:44 +0900] "GET /Goit/resources/main/main4.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:17:44 +0900] "GET /Goit/resources/main/main2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:17:44 +0900] "GET /Goit/resources/main/main6.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:17:44 +0900] "GET /Goit/resources/main/main3.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:17:44 +0900] "GET /Goit/resources/main/main5.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:17:44 +0900] "GET /Goit/resources/main/main1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:17:44 +0900] "GET /Goit/resources/main/main8.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:17:44 +0900] "GET /Goit/resources/main/main7.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:17:44 +0900] "GET /Goit/resources/main/main9.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:17:47 +0900] "GET /Goit/boardList HTTP/1.1" 500 9631
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:29:14 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2171
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:29:22 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:29:24 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2171
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:29:25 +0900] "GET /Goit/signUpPage HTTP/1.1" 200 8519
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:29:27 +0900] "POST /Goit/idCheck HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:29:27 +0900] "POST /Goit/idCheck HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:29:27 +0900] "POST /Goit/idCheck HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:29:47 +0900] "POST /Goit/signUp HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:29:49 +0900] "GET /Goit/signIn HTTP/1.1" 405 801
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:30:48 +0900] "GET /Goit/signIn HTTP/1.1" 405 801
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:30:51 +0900] "POST /Goit/signUp HTTP/1.1" 500 10185
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:30:58 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2171
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:30:59 +0900] "GET /Goit/signUpPage HTTP/1.1" 200 8519
0:0:0:0:0:0:0:1 - - [28/Jul/2023:16:31:00 +0900] "POST /Goit/idCheck HTTP/1.1" 200 11
